id,nombre,slug,descripcion,parent_id,activo,created_at,updated_at
36,Pantalones de descanso,pantalones-de-descanso,Categoría de ropa importada desde el catálogo de origen (lounge-pants).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
37,Shorts de descanso,shorts-de-descanso,Categoría de ropa importada desde el catálogo de origen (lounge-shorts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
38,Poleras de descanso,poleras-de-descanso,Categoría de ropa importada desde el catálogo de origen (lounge-tshirts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
39,Mangalsutras,mangalsutras,Categoría de accesorios importada desde el catálogo de origen (mangalsutra).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
40,Pijamas,pijamas,Categoría de ropa importada desde el catálogo de origen (night-suits).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
41,Camisones,camisones,Categoría de ropa importada desde el catálogo de origen (nightdress).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
42,Pantalones palazzo,pantalones-palazzo,Categoría de ropa importada desde el catálogo de origen (palazzos).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
43,Anillos,anillos,Categoría de accesorios importada desde el catálogo de origen (ring).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
44,Sandalias,sandalias,Categoría de calzado importada desde el catálogo de origen (sandals).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
45,Blusas de sari,blusas-de-sari,Categoría de ropa importada desde el catálogo de origen (saree-blouse).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
46,Saris,saris,Categoría de ropa importada desde el catálogo de origen (sarees).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
47,Bufandas,bufandas,Categoría de accesorios importada desde el catálogo de origen (scarves).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
48,Sherwanis,sherwanis,Categoría de ropa importada desde el catálogo de origen (sherwani).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
49,Camisas,camisas,Categoría de ropa importada desde el catálogo de origen (shirts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
50,Shorts,shorts,Categoría de ropa importada desde el catálogo de origen (shorts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
51,Faldas,faldas,Categoría de ropa importada desde el catálogo de origen (skirts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
52,Zapatillas deportivas,zapatillas-deportivas,Categoría de calzado importada desde el catálogo de origen (sports-shoes).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
53,Gafas de sol,gafas-de-sol,Categoría de accesorios importada desde el catálogo de origen (sunglasses).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
54,Suéteres,sueteres,Categoría de ropa importada desde el catálogo de origen (sweaters).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
55,Sudaderas,sudaderas,Categoría de ropa importada desde el catálogo de origen (sweatshirts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
56,Tops de baño,tops-de-bano,Categoría de ropa importada desde el catálogo de origen (swim-tops).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
57,Pantalones térmicos,pantalones-termicos,Categoría de ropa importada desde el catálogo de origen (thermal-bottoms).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
58,Mallas,mallas,Categoría de ropa importada desde el catálogo de origen (tights).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
59,Tops,tops,Categoría de ropa importada desde el catálogo de origen (tops).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
60,Pantalones deportivos,pantalones-deportivos,Categoría de ropa importada desde el catálogo de origen (track-pants).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
61,Maletas con ruedas,maletas-con-ruedas,Categoría de accesorios importada desde el catálogo de origen (trolley-bag).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
62,Pantalones,pantalones,Categoría de ropa importada desde el catálogo de origen (trousers).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
63,Bóxers tipo trunk,boxers-tipo-trunk,Categoría de ropa importada desde el catálogo de origen (trunk).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
64,Poleras,poleras,Categoría de ropa importada desde el catálogo de origen (tshirts).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
65,Túnicas,tunicas,Categoría de ropa importada desde el catálogo de origen (tunics).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
66,Billeteras,billeteras,Categoría de accesorios importada desde el catálogo de origen (wallets).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
67,Relojes,relojes,Categoría de accesorios importada desde el catálogo de origen (watches).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
